client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0000_14,0,3,383,train,0.029069768,4.1533957
f0001_41,0,0,414,train,0.032258064,4.1471424
f0002_01,0,0,405,train,0.024725275,4.149152
f0003_42,0,0,398,train,0.02793296,4.1502376
f0004_09,0,4,316,train,0.049295776,4.151557
f0005_26,0,0,352,train,0.034810126,4.1473684
f0006_12,0,4,381,train,0.049707603,4.143706
f0007_14,0,2,376,train,0.02366864,4.156866
f0008_45,0,0,419,train,0.03183024,4.1408243
f0009_06,0,1,378,train,0.011764706,4.1624217
f0000_14,0,3,383,test,0.0,4.1285515
f0001_41,0,0,414,test,0.11904762,4.0828557
f0002_01,0,0,405,test,0.0,4.1524878
f0003_42,0,0,398,test,0.0,4.145032
f0004_09,0,4,316,test,0.03125,4.1891174
f0005_26,0,0,352,test,0.0,4.1337724
f0006_12,0,4,381,test,0.07692308,4.1322794
f0007_14,0,2,376,test,0.05263158,4.135451
f0008_45,0,0,419,test,0.023809524,4.1647153
f0009_06,0,1,378,test,0.0,4.1512566
f0000_14,1,3,383,train,0.034883723,4.101918
f0001_41,1,0,414,train,0.018817205,4.1010456
f0002_01,1,0,405,train,0.06868132,4.097767
f0003_42,1,0,398,train,0.041899443,4.1024847
f0004_09,1,4,316,train,0.04225352,4.106743
f0005_26,1,0,352,train,0.088607594,4.096802
f0006_12,1,4,381,train,0.029239766,4.1010284
f0007_14,1,2,376,train,0.03846154,4.1075115
f0008_45,1,0,419,train,0.02917772,4.08953
f0009_06,1,1,378,train,0.014705882,4.122356
f0000_14,1,3,383,test,0.025641026,4.08347
f0001_41,1,0,414,test,0.071428575,4.0412884
f0002_01,1,0,405,test,0.024390243,4.1165066
f0003_42,1,0,398,test,0.0,4.0903196
f0004_09,1,4,316,test,0.0,4.1421547
f0005_26,1,0,352,test,0.083333336,4.0752826
f0006_12,1,4,381,test,0.025641026,4.0974655
f0007_14,1,2,376,test,0.05263158,4.089326
f0008_45,1,0,419,test,0.0,4.118258
f0009_06,1,1,378,test,0.02631579,4.1051083
f0000_14,2,3,383,train,0.07848837,4.0575337
f0001_41,2,0,414,train,0.06989247,4.058254
f0002_01,2,0,405,train,0.093406595,4.0514207
f0003_42,2,0,398,train,0.06703911,4.057869
f0004_09,2,4,316,train,0.038732395,4.0630984
f0005_26,2,0,352,train,0.088607594,4.047631
f0006_12,2,4,381,train,0.03508772,4.060386
f0007_14,2,2,376,train,0.07692308,4.069554
f0008_45,2,0,419,train,0.09549072,4.0426517
f0009_06,2,1,378,train,0.014705882,4.0853295
f0000_14,2,3,383,test,0.102564104,4.042133
f0001_41,2,0,414,test,0.071428575,4.0048046
f0002_01,2,0,405,test,0.048780486,4.0801644
f0003_42,2,0,398,test,0.1,4.044139
f0004_09,2,4,316,test,0.0,4.0985136
f0005_26,2,0,352,test,0.1388889,4.0265627
f0006_12,2,4,381,test,0.051282052,4.058809
f0007_14,2,2,376,test,0.13157895,4.0521874
f0008_45,2,0,419,test,0.04761905,4.074652
f0009_06,2,1,378,test,0.05263158,4.0633698
f0000_14,3,3,383,train,0.07848837,4.0079627
f0001_41,3,0,414,train,0.06989247,4.011607
f0002_01,3,0,405,train,0.093406595,4.0003896
f0003_42,3,0,398,train,0.06703911,4.0099864
f0004_09,3,4,316,train,0.038732395,4.015756
f0005_26,3,0,352,train,0.088607594,3.9944682
f0006_12,3,4,381,train,0.03508772,4.0153995
f0007_14,3,2,376,train,0.07692308,4.0256977
f0008_45,3,0,419,train,0.09549072,3.9902008
f0009_06,3,1,378,train,0.014705882,4.0463266
f0000_14,3,3,383,test,0.102564104,3.9982073
f0001_41,3,0,414,test,0.071428575,3.9523988
f0002_01,3,0,405,test,0.048780486,4.0431814
f0003_42,3,0,398,test,0.1,3.994363
f0004_09,3,4,316,test,0.0,4.0599766
f0005_26,3,0,352,test,0.1388889,3.9739761
f0006_12,3,4,381,test,0.051282052,4.013859
f0007_14,3,2,376,test,0.13157895,4.013343
f0008_45,3,0,419,test,0.04761905,4.0310416
f0009_06,3,1,378,test,0.05263158,4.017309
f0000_14,4,3,383,train,0.07848837,3.9342818
f0001_41,4,0,414,train,0.06989247,3.9418242
f0002_01,4,0,405,train,0.093406595,3.9232292
f0003_42,4,0,398,train,0.06703911,3.9414837
f0004_09,4,4,316,train,0.038732395,3.951439
f0005_26,4,0,352,train,0.088607594,3.9168496
f0006_12,4,4,381,train,0.03508772,3.9516869
f0007_14,4,2,376,train,0.07692308,3.963009
f0008_45,4,0,419,train,0.09549072,3.9133153
f0009_06,4,1,378,train,0.014705882,3.989442
f0000_14,4,3,383,test,0.102564104,3.92638
f0001_41,4,0,414,test,0.071428575,3.8921695
f0002_01,4,0,405,test,0.048780486,4.0009556
f0003_42,4,0,398,test,0.1,3.9061356
f0004_09,4,4,316,test,0.0,3.9972236
f0005_26,4,0,352,test,0.1388889,3.885656
f0006_12,4,4,381,test,0.051282052,3.9609425
f0007_14,4,2,376,test,0.13157895,3.950672
f0008_45,4,0,419,test,0.04761905,3.96239
f0009_06,4,1,378,test,0.05263158,3.9564803
f0000_14,5,3,383,train,0.07848837,3.84745
f0001_41,5,0,414,train,0.06989247,3.862282
f0002_01,5,0,405,train,0.093406595,3.8344147
f0003_42,5,0,398,train,0.06703911,3.8603518
f0004_09,5,4,316,train,0.038732395,3.875779
f0005_26,5,0,352,train,0.088607594,3.826239
f0006_12,5,4,381,train,0.03508772,3.8802326
f0007_14,5,2,376,train,0.07692308,3.8880217
f0008_45,5,0,419,train,0.09549072,3.8228734
f0009_06,5,1,378,train,0.014705882,3.9268687
f0000_14,5,3,383,test,0.102564104,3.860763
f0001_41,5,0,414,test,0.071428575,3.82141
f0002_01,5,0,405,test,0.048780486,3.9428916
f0003_42,5,0,398,test,0.1,3.8122659
f0004_09,5,4,316,test,0.0,3.9227023
f0005_26,5,0,352,test,0.1388889,3.7873557
f0006_12,5,4,381,test,0.051282052,3.9051812
f0007_14,5,2,376,test,0.13157895,3.885262
f0008_45,5,0,419,test,0.04761905,3.8877347
f0009_06,5,1,378,test,0.05263158,3.8695076
f0000_14,6,3,383,train,0.07848837,3.772944
f0001_41,6,0,414,train,0.06989247,3.7918372
f0002_01,6,0,405,train,0.093406595,3.7590966
f0003_42,6,0,398,train,0.06703911,3.7890322
f0004_09,6,4,316,train,0.038732395,3.8030756
f0005_26,6,0,352,train,0.088607594,3.74515
f0006_12,6,4,381,train,0.03508772,3.8141136
f0007_14,6,2,376,train,0.07692308,3.8306758
f0008_45,6,0,419,train,0.09549072,3.7478018
f0009_06,6,1,378,train,0.014705882,3.86556
f0000_14,6,3,383,test,0.102564104,3.8181179
f0001_41,6,0,414,test,0.071428575,3.7749517
f0002_01,6,0,405,test,0.048780486,3.9077084
f0003_42,6,0,398,test,0.1,3.740326
f0004_09,6,4,316,test,0.0,3.8458686
f0005_26,6,0,352,test,0.1388889,3.7130492
f0006_12,6,4,381,test,0.051282052,3.8556774
f0007_14,6,2,376,test,0.13157895,3.8374577
f0008_45,6,0,419,test,0.04761905,3.8205113
f0009_06,6,1,378,test,0.05263158,3.8049846
f0000_14,7,3,383,train,0.07848837,3.7268023
f0001_41,7,0,414,train,0.06989247,3.7430453
f0002_01,7,0,405,train,0.093406595,3.7083788
f0003_42,7,0,398,train,0.06703911,3.7422936
f0004_09,7,4,316,train,0.038732395,3.7532842
f0005_26,7,0,352,train,0.088607594,3.6905704
f0006_12,7,4,381,train,0.03508772,3.7691479
